index;especialidade;geografia_trabalho;receita;funcionarios;ev_receita;receita_funcionario
88;outsourcing;sub;4660000;145;1,15;32138
89;strategy;des;5730000;53;2,51;108113
90;cloud;sub;21410000;316;1,21;67753
91;outsourcing;sub;4340000;52;2,83;83462
92;outsourcing;sub;28170000;52;1,38;541731
93;cybersecurity;sub;174320000;948;1,54;183882
94;cybersecurity;sub;304700000;948;1,02;321414
95;strategy;sub;116480000;750;1,28;155307
96;outsourcing;sub;8330000;46;1,43;181087
97;outsourcing;des;48040000;221;2,66;217376
98;strategy;des;105750000;441;1,11;239796
99;cybersecurity;des;44100000;182;5,22;242308
100;automation;des;36050000;800;2,34;45063
101;outsourcing;des;22900000;89;2,45;257303
102;analytics;des;122160000;1081;1,29;113006
103;strategy;sub;69140000;528;2,13;130947
104;strategy;sub;69140000;528;2,13;130947
105;outsourcing;des;1513080000;9306;1,49;162592
106;cloud;des;826410000;16815;1,19;49147
107;strategy;des;2045930000;16600;1,52;123249
108;strategy;des;39740000;3274;2,97;12138
109;strategy;des;143270000;3274;1,06;43760
110;strategy;des;124510000;3274;1,57;38030
111;strategy;des;117960000;3274;1,7;36029
112;strategy;des;118250000;3274;3,52;36118
113;design;sub;18100000;15000;2,04;1207
114;strategy;sub;64560000;270;1,39;239111
115;outsourcing;sub;76870000;993;2,7;77412
116;strategy;des;78000;25;4,22;3120
117;outsourcing;des;132000;25;3,82;5280
118;outsourcing;sub;92720000;3796;1,03;24426
119;strategy;des;4820000;71;1,04;67887
120;strategy;des;6120000;71;1,47;86197
121;strategy;des;5370000;71;1,92;75634
122;strategy;des;7980000;71;1,76;112394
123;strategy;des;6760000;71;2,13;95211
124;strategy;des;10440000;71;2,39;147042
125;strategy;des;5370000;71;8,22;75634
126;strategy;des;8720000;71;6,88;122817
127;strategy;des;131550000;71;9,12;1852817
128;automation;des;100660000;250;0,97;402640
129;strategy;sub;34960000;603;1,77;57977
130;outsourcing;des;50670000;170;1,01;298059
131;outsourcing;des;1288060000;30806;3,57;41812
132;cybersecurity;des;7220000;65;2,35;111077
133;strategy;sub;1420000;58;4,49;24483
134;cloud;des;58890000;4905;1,19;12006
135;cybersecurity;sub;109880000;698;0,98;157421
136;cybersecurity;sub;17420000;20;0,95;871000
137;automation;des;33800000;241;2,96;140249
138;cloud;des;627310000;844;1,87;743258
139;cloud;des;412300000;844;6,63;488507
140;design;des;228330000;1947;1,19;117273
141;outsourcing;des;15550000;51;2,54;304902
142;cloud;des;38000000;200;3,52;190000
143;analytics;des;25170000;200;1,23;125850
144;cybersecurity;des;60840000;200;3,3;304200
145;cloud;des;47700000;150;2,38;318000
146;cybersecurity;sub;49880000;177;3,39;281808
147;strategy;sub;4910000;357;1,07;13754
148;cloud;sub;5910000;53;1,58;111509
149;cloud;sub;10120000;53;1,18;190943
150;cloud;sub;121030000;1159;2,43;104426
151;outsourcing;des;49390000;341;1,11;144839
152;cybersecurity;sub;12890000;45;0,92;286444
153;strategy;des;904440000;12716;2,29;71126
154;strategy;des;22920000;216;5,03;106111
155;strategy;sub;300000;95;1,23;3158
156;strategy;sub;300000;95;1,65;3158
157;strategy;sub;328000;95;7,77;3453
158;marketing;des;25000000;161;2;155280
159;strategy;sub;263090000;2044;1,16;128713
160;cloud;des;349890000;789;3,51;443460
161;automation;sub;68500000;543;0,97;126151
162;analytics;sub;78410000;764;1;102631
163;analytics;sub;76080000;764;2,21;99581
164;automation;des;29420000;200;2,4;147100
165;cloud;sub;64660000;1306;2,14;49510
166;outsourcing;sub;24630000;185;0,99;133135
167;analytics;des;548000;37;1,25;14811
168;analytics;des;879000;37;1,15;23757
169;analytics;des;1200000;37;0,96;32432
170;strategy;des;70000000;650;2,6;107692
171;design;des;4760000;42;1,24;113333
172;cloud;sub;918580000;19313;0,97;47563
173;cloud;sub;1328910000;19313;1,65;68809
174;cybersecurity;des;28630000;400;4,86;71575
175;strategy;des;452630000;13684;2,19;33077
176;outsourcing;des;5640000;45;1,04;125333
177;strategy;des;5640000;45;2,84;125333
178;cybersecurity;sub;19830000;82;0,94;241829
179;cybersecurity;sub;14260000;66;1,55;216061
180;cybersecurity;sub;17330000;66;3,7;262576
181;cybersecurity;des;5690000;42;1,2;135476
182;analytics;sub;26980000;637;4,17;42355
183;strategy;sub;270000;104;1,05;2596
184;outsourcing;des;42470000;218;3,34;194817
185;cybersecurity;des;33230000;130;1,61;255615
186;strategy;des;39110000;155;1,32;252323
187;cybersecurity;des;29650000;91;0,99;325824
188;strategy;des;48000000;335;1,15;143284
189;strategy;des;48000000;335;1,29;143284
190;marketing;des;1444250000;3500;0,99;412643
191;marketing;des;1444250000;3500;4,96;412643
192;outsourcing;des;4483000000;14000;1,52;320214
193;strategy;sub;1040000;40;6,99;26000
194;outsourcing;des;37000000;940;1,24;39362
195;outsourcing;sub;11440000;140;1,38;81714
196;design;sub;33000000;600;2,15;55000
197;automation;des;54140000;500;1,68;108280
198;marketing;sub;138450000;1885;1,2;73448
199;cloud;des;2073400000;6115;2,39;339068
200;outsourcing;sub;33760000;6750;1,32;5001
201;outsourcing;des;12520000;80;0,98;156500
202;strategy;des;45080000;315;2,47;143111
203;design;des;2080000;108;6,28;19259
204;outsourcing;sub;60130000;908;1,52;66222
205;outsourcing;sub;85930000;1422;1;60429
206;analytics;des;75000000;173;2,33;433526
207;strategy;sub;248940000;614;1,23;405440
208;cloud;des;2035000000;2600;1,23;782692
209;cybersecurity;sub;186370000;682;1,28;273270
210;design;des;114210000;1800;2,1;63450
211;analytics;des;52230000;405;0,95;128963
212;cloud;des;1720000;38;1,62;45263
213;cloud;des;1700000;38;4,23;44737
214;design;des;24450000;390;3,23;62692
215;strategy;des;379560000;4564;1,15;83164
216;strategy;des;12640000;95;0,95;133053
217;strategy;des;21800000;202;0,97;107921
218;design;sub;63840000;1633;1,18;39094
219;outsourcing;des;7410000;12;1;617500
220;cloud;sub;12410000;58;1,84;213966
221;cloud;sub;20580000;58;3,89;354828
222;cloud;sub;13750000;58;7,27;237069
223;cloud;sub;61200000;58;2,5;1055172
224;outsourcing;des;528490000;40100;1,15;13179
225;outsourcing;des;672740000;40100;1,14;16777
226;outsourcing;sub;354720000;14706;0,98;24121
227;strategy;sub;9590000;111;1,58;86396
228;strategy;sub;27400000;145;1,08;188966
229;automation;des;364640000;12316;1,39;29607
230;cloud;sub;3310000;150;2,26;22067
231;strategy;sub;77410000;180;1,1;430056
232;strategy;sub;84240000;180;4,68;468000
233;strategy;des;900940000;10600;3,5;84994
234;outsourcing;sub;454240000;8950;1,1;50753
235;cloud;des;1183040000;3172;4,8;372963
236;strategy;des;4270000;500;1,61;8540
237;outsourcing;des;150500000;950;1,16;158421
238;analytics;sub;107680000;1777;1,08;60597
239;cloud;sub;74080000;1010;1,48;73347
240;analytics;des;49800000;200;1,72;249000
241;automation;des;607640000;2863;1,23;212239
242;automation;des;680760000;2863;1,57;237779
243;automation;des;607640000;2863;2,2;212239
244;marketing;des;21280000;200;1,06;106400
245;cloud;des;2830000;50;6,01;56600
246;strategy;sub;34680000;500;1,74;69360
247;automation;des;246650000;1370;1,62;180036
248;automation;des;286690000;1370;5,47;209263
249;strategy;des;1294320000;23837;1,9;54299
250;strategy;des;15070000;90;1;167444
251;strategy;sub;15120000;90;1,2;168000
252;outsourcing;sub;38800000;354;1,21;109605
253;strategy;sub;32800000;235;4,1;139574
254;analytics;sub;67300000;125;1,34;538400
